epoch dice_coefficient loss val_dice_coefficient val_loss
0 0.19928779 -0.19928779103793204 0.41860422 -0.4186042249202728
1 0.35427392 -0.3542739669792354 0.5630089 -0.5630089044570923
2 0.5219463 -0.5219463454559445 0.67761904 -0.6776190400123596
3 0.5700976 -0.5700976215302944 0.64883983 -0.6488398313522339
4 0.6113 -0.6113 0.6129 -0.6129
5 0.6600 -0.6600 0.7751 -0.7751 
6 0.6792 -0.6792 0.8681 -0.8681
7 0.6941 -0.6941 0.8646 -0.8646
8 0.7277 -0.7277 0.8607 -0.8607
9 0.703525 -0.7035249210894108 0.65611637 -0.6561163663864136
10 0.718142 -0.7181419767439365 0.89624083 -0.8962408304214478
11 0.73537195 -0.7353719100356102 0.91065943 -0.9106594324111938
12 0.75766605 -0.7576660849153996 0.86953837 -0.8695383667945862
13 0.75053275 -0.7505328431725502 0.77276057 -0.7727605700492859
14 0.76639503 -0.7663951478898525 0.9254805 -0.9254804849624634
15 0.7877304 -0.7877304572612047 0.8409337 -0.8409336805343628
16 0.76665914 -0.766659177839756 0.6265378 -0.6265377998352051
17 0.75119513 -0.7511951308697462 0.9673574 -0.9673573970794678
18 0.7770514 -0.7770513705909252 0.9764761 -0.9764760732650757
19 0.7965141 -0.796514019370079 0.9944627 -0.9944627285003662
20 0.7964372 -0.7964372504502535 0.91677994 -0.9167799353599548
21 0.79557526 -0.7955752704292536 0.876528 -0.8765280246734619
22 0.8118157 -0.8118156865239143 1.0250725 -1.025072455406189
23 0.797401 -0.7974010612815619 0.96453017 -0.9645301699638367
24 0.8140897 -0.8140896931290627 0.89366156 -0.8936615586280823
25 0.8236364 -0.8236365430057049 1.0578436 -1.057843565940857
26 0.82154036 -0.821540329605341 0.8156499 -0.8156499266624451
27 0.81066 -0.8106599971652031 0.96742296 -0.9674229621887207
28 0.83284956 -0.8328495882451534 0.9451948 -0.9451947808265686
29 0.8464021 -0.8464022092521191 0.9341675 -0.9341675043106079
30 0.82593715 -0.8259371500462294 0.96143895 -0.9614389538764954
31 0.84704614 -0.8470460865646601 0.9205077 -0.9205077290534973
32 0.8523669 -0.8523667864501476 0.8347962 -0.8347961902618408
33 0.8524479 -0.8524478208273649 0.8474038 -0.8474038243293762
34 0.8465151 -0.8465150315314531 0.98209286 -0.9820928573608398
35 0.86447036 -0.864470399916172 0.9742636 -0.974263608455658
36 0.8669994 -0.8669994026422501 1.0093385 -1.0093384981155396
37 0.8659148 -0.8659147303551435 1.0190164 -1.0190163850784302
38 0.86494064 -0.8649407364428043 0.9019472 -0.9019472002983093
39 0.86342704 -0.863427197560668 0.9111023 -0.911102294921875
40 0.86098343 -0.8609834406524897 0.9136454 -0.9136453866958618
41 0.8685937 -0.8685935270041227 1.0329881 -1.0329880714416504
42 0.87232137 -0.872321417555213 0.9986672 -0.9986671805381775
43 0.8590753 -0.8590753022581339 1.0468496 -1.0468496084213257
44 0.87215364 -0.8721537087112665 0.8095799 -0.8095799088478088
45 0.8718942 -0.8718942739069462 1.1280122 -1.1280121803283691
46 0.87785614 -0.877856008708477 0.9518764 -0.9518764019012451
47 0.86975753 -0.8697575479745865 1.006071 -1.0060709714889526
48 0.888912 -0.8889120984822512 1.0925535 -1.0925534963607788
49 0.8907307 -0.8907306957989931 0.9481055 -0.94810551404953
50 0.8918052 -0.8918052036315203 1.0200188 -1.0200188159942627
51 0.8821843 -0.8821842577308416 1.0096096 -1.009609580039978
52 0.88669896 -0.8866990022361279 1.0698911 -1.069891095161438
